Model summary (fused): 72 layers, 3,014,423 parameters, 0 gradients, 8.1 GFLOPs
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100% ━━━━━━━━━━━━ 41/41 4.9it/s 8.3s
                   all       2564      17948          1          1      0.995      0.995
                     Y        252        284      0.999          1      0.995      0.995
                     t        377        440          1          1      0.995      0.994
                     r        395        458          1          1      0.995      0.995
                     D        185        207      0.999          1      0.995      0.995
                     5        469        530          1          1      0.995      0.995
                     6        396        440          1          1      0.995      0.995
                     A        236        255      0.999          1      0.995      0.995
                     H        230        252      0.999          1      0.995      0.995
                     G        182        215      0.999          1      0.995      0.995
                     S        244        283          1          1      0.995      0.995
                     T        184        218      0.999          1      0.995      0.995
                     h        384        472          1          1      0.995      0.995
                     B        233        268      0.999          1      0.995      0.995
              cylinder        507        585          1          1      0.995      0.995
                sphere        508        609          1          1      0.995      0.995
                  cube        478        549          1          1      0.995      0.995
                     e        451        527          1          1      0.995      0.995
                     a        430        513          1          1      0.995      0.995
                     V        274        323          1          1      0.995      0.995
                     U        218        239          1          1      0.995      0.995
                dodeca        514        598          1          1      0.995      0.995
                     7        394        501          1          1      0.995      0.995
                     2        488        571          1      0.997      0.995      0.995
                     L        241        293      0.999          1      0.995      0.995
                     E        248        293      0.999          1      0.995      0.994
                     P        194        230      0.999          1      0.995      0.995
                     m        417        504          1          1      0.995      0.995
                     g        384        443          1          1      0.995      0.994
                     4        492        547          1          1      0.995      0.995
                     8        512        610          1          1      0.995      0.995
                     y        419        493          1          1      0.995      0.995
                  cone        499        554          1          1      0.995      0.995
                     M        234        268      0.999          1      0.995      0.995
                     Z        208        246      0.999          1      0.995      0.995
                     9        501        575          1          1      0.995      0.995
                     W        187        228      0.999          1      0.995      0.995
                     X        234        296      0.999          1      0.995      0.995
                     c        272        336          1          1      0.995      0.994
                     K        244        285          1          1      0.995      0.995
                     F        238        267      0.999          1      0.995      0.995
                     n        435        495          1          1      0.995      0.995
              asterisk        455        509          1          1      0.995      0.995
                     Q        270        327          1          1      0.995      0.995
                     R        223        242      0.999          1      0.995      0.995
                     3        448        570          1          1      0.995      0.995
Speed: 0.1ms preprocess, 0.7ms inference, 0.0ms loss, 0.6ms postprocess per image
